serialnumber;productname;price
S000004;U6C-2U4;176.63
S000005;R6R-6G6;17.52
S000006;L9F-9P6;59.06
S000007;B8G-3C2;85.21
S000008;F1B-9D7;51.10
S000009;D0W-0B7;19.60
S000010;L4Y-3X3;124.75
S000011;B7G-3V1;96.71
S000012;Z9X-7F4;25.60
S000013;A9G-5F5;153.08
S000014;W9Y-3K8;107.46
S000015;Y5K-4F7;48.08
S000016;H6Y-6I0;57.71
S000017;X3J-5W1;70.06
S000018;I0C-6Y7;112.65
S000019;Z6C-1Q0;31.06
S000020;B8V-8L7;148.38
S000021;F4R-5Z5;144.65
S000022;E0O-2T1;188.52
S000023;Z2F-7G3;165.37
S000024;R2F-6V5;118.77
S000025;A7O-4Z2;168.10
S000026;E5L-1P8;49.77
S000027;L3J-0T3;74.11
S000028;G4F-4S1;33.70
S000029;H6S-3A6;161.87
S000030;O4I-6U4;198.49
S000031;K0L-9S5;40.10
S000032;R0G-5W6;68.18
S000033;E8M-3S1;132.98
S000034;G0L-8G4;24.72
S000035;O5W-1X5;153.58
S000036;O3D-3N1;139.59
S000037;Q9J-0S8;22.25
S000038;D4H-0X5;112.34
S000039;S1Z-6P4;21.53
S000040;K4C-5E7;74.83
S000041;D1P-4A8;103.53
S000042;Y6P-0A0;134.55
S000043;X9Q-7Z5;195.00
S000044;A8Y-9O0;107.37
S000045;G6R-4I0;54.26
S000046;Y0Y-4Q4;144.29
S000047;M9A-9J1;78.90
S000048;Q5G-7Q1;165.66
S000049;K7B-6N0;74.66
S000050;H7E-3F0;189.07
